City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
503,Myitkyina,MM,68.47,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
505,Lokoja,NG,83.34,overcast clouds,7.8024,6.742999999999999,Hotel Charvid
508,Lata,PT,62.01,broken clouds,40.1629,-8.3327,Casa Maquia
509,Marsala,IT,64.4,overcast clouds,37.7966,12.4352,Villa Favorita Hotel e Resort
511,Ocos,GT,89.6,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
513,Cabo San Lucas,MX,80.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
514,Hasaki,JP,60.8,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
515,Sao Mateus Do Maranhao,BR,78.75,overcast clouds,-4.0417,-44.475,Pousada Pingo De Ouro
516,Puerto Baquerizo Moreno,EC,84.2,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
517,San Vicente,AR,78.31,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
519,Watertown,US,63.0,clear sky,42.3709,-71.1828,Sonesta International Hotels Corporation
520,Idaho Falls,US,66.99,broken clouds,43.4666,-112.0341,Hilton Garden Inn Idaho Falls
521,Iztapa,GT,89.6,overcast clouds,13.9333,-90.7075,Villas de Puerto Viejo
524,Parker,US,70.0,overcast clouds,32.7668,-97.8003,"Candlewood Suites Weatherford, an IHG Hotel"
525,Neka,IR,61.14,overcast clouds,36.6508,53.299,اپارتمان قومش
526,Parana,AR,82.99,clear sky,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
527,Corinto,GR,70.0,broken clouds,37.9407,22.9573,Ephira Hotel
528,Springfield,US,78.01,broken clouds,37.2153,-93.2982,University Plaza Hotel & Convention Center
530,Owak,PH,82.4,scattered clouds,10.55,123.7,Coco Seaview Beach House
532,Gunjur,GM,80.6,clear sky,13.2019,-16.7339,Kuba Lodge
534,Bom Jesus,BR,87.91,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
536,Paka,MY,77.0,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA
537,Ranong,TH,79.39,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
543,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
545,Lima,PE,73.0,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
547,Kantunilkin,MX,87.8,scattered clouds,21.0917,-87.45,Posada Paraiso
554,Caravelas,BR,77.76,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
555,Batticaloa,LK,81.14,overcast clouds,7.7102,81.6924,Grand Star Guest House
556,Sala Consilina,IT,63.0,broken clouds,40.3912,15.5989,Hotel la Marchesina
557,Fomboni,KM,82.8,scattered clouds,-12.28,43.7425,Relais Singani
559,Riachao Das Neves,BR,87.37,overcast clouds,-11.7461,-44.91,Casa Costa
561,Stefan Cel Mare,RO,64.99,overcast clouds,46.9833,26.5167,Pensiunea ANA
562,Seydi,TM,74.07,broken clouds,39.4816,62.9137,Seydi oteli
563,Sur,OM,81.91,clear sky,22.5667,59.5289,Sur Plaza Hotel
564,Buin,CL,62.6,haze,-33.7333,-70.75,Paihuen
569,Iracoubo,GF,80.15,scattered clouds,5.4802,-53.2011,Le Gite D Iracoubo
570,Rio Grande,BR,78.8,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
571,Sao Jose Da Coroa Grande,BR,80.51,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
573,Kahului,US,75.2,few clouds,20.8947,-156.47,Maui Seaside Hotel
576,Ewo,CG,73.67,few clouds,-0.8725,14.8206,Residence Elonda Ewo
582,Lazaro Cardenas,MX,84.61,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
583,Dicabisagan,PH,75.54,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
